LATITUDE,LONGITUDE
282,40.0184822,-0.3173927
283,39.40235440000001,-0.5907213
284,40.1162599,-0.23598
285,40.8886895,-2.9436437
286,40.0207477,-0.4197533
287,40.0401866,-0.0745656
288,39.6040097,-0.7277374
289,40.4653095,0.1788846
290,39.7257658,-0.9731057999999998
291,39.1998967,-0.3133526
292,39.4658235,-0.3812176
293,,
294,40.0358771,-0.5532633
295,39.5913379,-0.4646531999999999
296,39.4741098,-0.3812748
297,39.4740331,-0.4146675
298,39.4730911,-0.381079
299,39.9881817,-0.0492637
300,40.360179,0.4000165
301,39.4659856,-0.3811072
302,39.8968464,-0.1137994
303,40.0606783,-0.1375875
304,38.92791,-0.25158
305,39.4654469,-0.3762962
306,40.0453814,-1.1440022
307,39.66924179999999,-0.3396694
308,39.0716241,-0.5757852999999999
309,39.4025682,-0.5904825
310,39.48140799999999,-0.441988
311,39.4179258,-0.4009113
312,38.94556650000001,-0.399119
313,39.1614862,-0.253776
314,39.56100989999999,-0.4992069
315,39.4663159,-0.3815988
316,39.5676537,-0.6266940999999999
317,39.43263880000001,-0.4727371999999999
318,39.4681598,-0.3855026
319,39.4658983,-0.4335688
320,39.4656611,-0.4168811
321,39.4723899,-0.7181556
322,38.9677993,-0.1889552
323,39.66026,-0.6718299999999999
324,39.5630724,-0.5329031
325,39.470451,-0.3769805
326,38.98143,-0.6865979999999999
327,39.391672,-0.7709539999999999
328,39.4667994,-0.3820929
329,39.5292046,-0.3486187
330,40.5112382,0.2528431
331,38.9667114,-0.1811981
332,39.4776487,-0.3630854
333,39.4072883,-0.4092881
334,39.6796634,-0.2792098
335,39.58446,-1.36394
336,39.4741074,-0.3747808
337,39.4599805,-0.3870305
338,38.9910707,-0.1612585
339,38.963165,-0.1859152
340,38.9708127,-0.1903378
341,38.9664977,-0.1897102
342,38.9663361,-0.1818554
343,39.4735419,-0.3817665
344,38.9663361,-0.1818554
345,38.9959757,-0.1658417
346,39.9420782,-0.06074349999999999
347,38.9663361,-0.1818554
348,39.4736558,-0.3758787
349,39.4741899,-0.3963043
350,39.4726777,-0.4056413
351,39.5388856,-0.4045059
352,39.5149288,-0.4079817
353,38.3446189,-0.4804927
354,39.462868,-0.4263946
355,40.6911871,-0.1761412
356,39.6688362,-0.3405146
357,39.65955659999999,-0.671968
358,39.4840108,-0.7532808999999999
359,38.967141,-0.1793704
360,39.1398301,-1.073965
361,38.7429934,-0.4422349
362,39.464262,-0.3584766
363,38.9894426,-0.5182886999999999
364,38.9907173,-0.5100837
365,39.0109189,-0.216565
366,39.6251346,-0.5917169999999999
367,39.6266835,-0.6000093
368,39.4728595,-0.3796196
369,39.4771036,-0.381843
370,38.94010710000001,-0.3535217
371,39.2813939,-0.5723376
372,39.0035636,-0.5281534
373,39.3817143,-0.7855620999999999
374,39.4840108,-0.7532808999999999
375,39.6688362,-0.3406423
376,38.9070778,-0.4261041
377,39.4615865,-0.336358
378,39.4290059,-0.5815332
379,39.4215545,-0.4851497
380,39.1401606,-0.5212577
381,39.478396,-0.3588142
382,39.4755467,-0.3810271
383,39.9806458,-0.0414225
384,39.5293108,-0.3484606
385,39.9853609,-0.0313771
386,39.4840108,-0.7532808999999999
387,39.4794509,-0.4233625
388,39.4715749,-0.4198454
389,38.9230287,-0.1244817
390,39.4699075,-0.3762881
391,38.87414,-0.7547049
392,39.5452518,-0.3960275
393,39.6688362,-0.3406423
394,39.4706585,-0.416282
395,39.8887317,-0.08460530000000001
396,40.229126,-0.07799969999999999
397,39.4717498,-0.3765094
398,39.5639824,-0.3404758
399,39.66093,-0.42459
400,39.4692735,-0.3979085
401,39.4579776,-0.4562359
402,38.9680811,-0.1924713
403,39.7455741,-0.1744052
404,39.4298748,-0.3642894
405,38.8243672,-0.6122048
406,37.9735346,-122.5310874
407,38.8214143,-0.6082544999999999
408,38.8214143,-0.6082544999999999
409,39.456744,-0.3760925
410,39.005555,-0.5633829
411,39.4624674,-0.4346124
412,39.48237340000001,-0.3974435
413,39.9763111,-0.0477529
414,39.1940362,-0.5071937
415,39.4840108,-0.7532808999999999
416,39.54566459999999,-0.4590851
417,39.5471494,-0.4569998
418,39.4727215,-0.358616
419,39.4383893,-0.4540555999999999
420,39.4680898,-0.369269
421,39.5867769,-0.4528975
422,39.545753,-0.4552903
423,39.54646899999999,-0.459934
424,39.5509115,-0.4648053
425,39.5460229,-0.4560403
426,39.5460984,-0.4532698
427,39.6043613,-0.7268298999999999
428,39.4227398,-0.3393306
429,39.3141215,-0.4354836
430,39.3141215,-0.4354836
431,39.4517464,-0.4688998
432,39.4516789,-0.3397034
433,39.1954534,-0.3694275
434,39.4513975,-0.4717301
435,39.5792908,-0.3253844
436,39.6722779,-0.2423928
437,39.2005576,-0.5076205
438,39.4844164,-0.3786502
439,39.47127589999999,-0.369654
440,39.75098029999999,-0.3638917
441,38.932369,-0.184884
442,39.4953249,-0.4633031
443,39.4688101,-0.371889
444,39.5874714,-0.3361233
445,39.4733687,-0.3739343
446,39.0520127,-0.4547865
447,39.5292046,-0.3486187
448,38.8658485,-0.3964921
449,38.9483866,-0.1929309
450,38.8770274,-0.0265879
451,39.4718336,-0.3929587
452,39.4880424,-1.1023791
453,39.47379189999999,-0.4117183
454,39.4740192,-0.3727736
455,38.3447152,-0.4805903
456,39.482851,-0.4424179
457,39.4740331,-0.4146675
458,38.6429386,0.0465465
459,37.9385763,-0.7230841
460,39.421943,-0.3903152
461,39.5058526,-0.4428302
462,39.6805786,-0.278955
463,39.67125619999999,-0.2455602
464,39.6644675,-0.2286801
465,38.9662376,-0.1818583
466,39.4256094,-0.3884708000000001
467,39.6690405,-0.3395591000000001
468,39.4898478,-0.3694891
469,39.4898478,-0.3694891
470,39.2629855,-0.4701613
471,39.6561174,-0.8920872000000001
472,38.9682126,-0.1780367
473,39.0430977,-0.3107274
474,39.732042,-1.2312261
475,39.2786609,-0.3828454
476,39.4749726,-0.4145091
477,38.3552203,-0.4715856999999999
478,39.2462782,-0.2650132
479,39.4850371,-0.3745731
480,39.466058,-0.3766876
481,39.4840108,-0.7532808999999999
482,39.4826024,-0.3972511
483,39.4824224,-0.3974523
484,39.43677599999999,-0.4640409
485,39.4336491,-0.462583
486,39.43207400000001,-0.4723703
487,38.3489719,-0.4780289
488,39.46165269999999,-0.3703311
489,39.3901255,-0.7114539999999999
490,39.5660817,-1.2041133
491,39.5462609,-0.3894034
492,39.5056799,-0.4141851
493,39.4780267,-0.3435895
494,39.4784344,-0.3596941
495,39.4723354,-0.3730631
496,39.4548751,-0.3504904
497,39.4724155,-0.3509492
498,39.46532,-0.40205
499,39.46532,-0.40205
500,39.4732422,-0.362356
501,39.4644571,-0.4113773
502,39.482737,-0.347678
503,39.4807985,-0.3406299
504,39.4779989,-0.3760519
505,39.4771068,-0.3466349
506,39.4770451,-0.3734154
507,39.4837245,-0.3410161
508,39.4939653,-0.3871225
509,39.4600991,-0.3922064
510,39.5000959,-0.3926877
511,39.4752224,-0.369576
512,39.4788181,-0.3830386
513,39.4731102,-0.3681623
514,39.4708999,-0.3762469
515,39.4595092,-0.3888886
516,39.4690562,-0.3717975
517,39.4701233,-0.378556
518,39.4751889,-0.3737504
519,39.4736699,-0.3500752
520,39.459157,-0.3453311
521,39.4678799,-0.3710565
522,39.5018354,-0.4238265
523,39.4867838,-0.3827811
524,39.4611233,-0.3451948
525,39.46532,-0.40205
526,39.46532,-0.40205
527,39.4785212,-0.3760957
528,39.47695849999999,-0.3622938
529,39.4280934,-0.361891
530,39.4788181,-0.3830386
531,39.479614,-0.382762
532,39.47131359999999,-0.3841607
533,39.4709921,-0.3785379
534,39.4839898,-0.3926790000000001
535,39.4708688,-0.380007
536,39.4946697,-0.4058548
537,39.4692035,-0.3809335
538,39.4735982,-0.3750754
539,39.4723696,-0.3672695
540,39.4687066,-0.3737944
