Instituto,Localidad,Presentados,Aptos,Media Expediente,Media PAU
"CENTRE PRIVAT LLEDÓ, INTERNATIONAL SCHOOL",CASTELLÓ DE LA PLANA,20,20,7.6,7.2
IES TORRE DEL REI,ORPESA,7,7,7.5,7.3
IES ANTONIO SEQUEROS,ALMORADÍ,56,55,7.9,6.8
IES BELLAGUARDA,ALTEA,48,45,7.2,6
CENTRE PRIVAT LOPE DE VEGA,BENIDORM,32,31,7.7,5.9
CENTRE PRIVAT ALMEDIA,CALLOSA DE SEGURA,39,39,8.1,7.3
IES VEGA BAJA,CALLOSA DE SEGURA,50,50,8.1,6.5
IES CANÓNIGO MANCHÓN,CREVILLENT,43,42,7.7,6.5
IES MACIÀ ABELA,CREVILLENT,60,60,7.9,7.2
IES HISTORIADOR CHABÀS,DÉNIA,94,90,7.5,6.6
IES MARIA IBARS,DÉNIA,18,18,7.3,6
CENTRE PRIVAT NUESTRA SEÑORA DEL CARMEN,ELX,76,76,7.3,6.9
CENTRE PRIVAT SANTA MARÍA,ELX,56,56,7.8,7.2
IES SIXTO MARCO,ELX,55,55,7.7,6.3
IES ASUNCIÓN DE NUESTRA SEÑORA,ELX,67,67,7.9,6.6
CENTRE PRIVAT SAN JOSÉ ARTESANO,ELX,75,73,7.6,6.2
IES ANTONI LLIDÓ,XÀBIA,32,30,7.7,6.5
ESCUELA DE ARTE Y SUPERIOR DE DISEÑO DE ORIHUELA,ORIHUELA,16,14,7.2,5.6
CENTRO PRIVADO DIOCESANO SANTO DOMINGO,ORIHUELA,120,111,7.8,6.2
IES GABRIEL MIRÓ,ORIHUELA,107,93,7.7,5.7
IES EL PALMERAL,ORIHUELA,35,26,7.6,5.4
CENTRO PRIVADO SEMINARIO DIOCESANO S. MIGUEL,ORIHUELA,3,3,7.9,6.9
IES ENRIC VALOR,PEGO,41,39,7.6,6.1
IES LAS LAGUNAS,TORREVIEJA,31,29,7.5,6.1
IES NÚMERO 1 - LIBERTAS,TORREVIEJA,18,18,7.5,6.2
CENTRO PRIVADO LA PURÍSIMA,TORREVIEJA,44,42,7.8,6
IES MARCOS ZARAGOZA,LA VILA JOIOSA,23,23,7.5,6.2
IES LA MALLADETA,LA VILA JOIOSA,36,35,7.6,6.2
IES CARRÚS,ELX,64,64,7.6,6.3
IES LA TORRETA,ELX,19,19,7.4,6.8
IES PERE MARIA ORTS I BOSCH,BENIDORM,37,37,7.5,6.6
IES PEDRO IBARRA RUIZ,ELX,21,21,7.5,6
IES CAP DE L'ALJUB,SANTA POLA,30,30,7.4,6.6
IES LLOIX,SANT JOAN D'ALACANT,35,34,7.3,6.6
IES SANTA POLA,SANTA POLA,36,36,7.8,6.4
IES LUIS GARCÍA BERLANGA,SANT JOAN D'ALACANT,24,23,7.7,6.3
IES AZUD DE ALFEITAMI,ALMORADÍ,30,29,7.9,6.5
IES ALTAIA,ALTEA,22,21,7.3,6.4
IES L'ALMADRAVA,BENIDORM,11,10,7.1,5.5
CENTRE PRIVAT AITANA,ELX,37,37,7.7,7.3
IES LAS ESPEÑETAS,ORIHUELA,13,13,8.1,5.6
IES JOSEP IBORRA,BENISSA,42,42,7.7,6.5
IES MONTSERRAT ROIG,ELX,26,26,7.3,6.6
IES BERNAT DE SARRIÀ,BENIDORM,28,28,7.2,5.6
IES TIRANT LO BLANC,ELX,42,42,7.8,7.6
IES SANTIAGO GRISOLIA,CALLOSA D'EN SARRIÀ,18,16,7.9,6.3
IES SEVERO OCHOA,ELX,18,18,7.5,6.5
IES SAN PASCUAL,DOLORES,26,25,7.6,5.9
IES LES DUNES,GUARDAMAR DEL SEGURA,66,65,7.8,6.6
IES NÚMERO 1,XÀBIA,36,34,7.5,5.8
IES THÁDER,ORIHUELA,46,43,8,6.6
IES CAYETANO SEMPERE,ELX,62,60,7.6,6.4
IES ANTONIO SERNA SERNA,ALBATERA,55,55,7.9,6.6
IES IFACH ,CALP,42,42,7.4,6.6
IES THIAR,PILAR DE LA HORADADA,54,49,7.7,5.8
IES VICTORIA KENT,ELX,39,39,7.5,6.8
IES BEATRIU FAJARDO DE MENDOZA,BENIDORM,50,50,7.2,6.2
IES MIGUEL HERNÁNDEZ,BIGASTRO,25,23,8.1,5.9
IES RODOLFO LLOPIS,CALLOSA D'EN SARRIÀ,13,13,7.3,6
IES CATRAL,CATRAL,26,26,8.3,7.6
IES JOANOT MARTORELL,ELX,35,33,7.9,5.8
IES NIT DE L'ALBÀ,ELX,66,66,7.6,6.6
IES MISTERI D'ELX,ELX,86,86,7.5,7.4
IES LOS ALCORES,SAN MIGUEL DE LAS SALINAS,21,21,8.1,7.1
IES MARE NOSTRUM,TORREVIEJA,36,36,7.4,6.7
IES BENEJÚZAR,BENEJÚZAR,29,28,8.2,6.7
IES LA ENCANTÁ,ROJALES,33,33,7.9,6.7
IES XEBIC,ONDARA,23,23,7.7,7.2
IES TORRELLANO,ELX,35,33,8,6.7
